ALV-7004 CGS-8F Data, Single Run Data
Date :	"05.01.2021"
Time :	"15:57:07"
Samplename : 	"7 2021 MW002-03"
SampMemo(0) : 	"nach ca 3 Monaten, kein Detektor abgeschwächt, "
SampMemo(1) : 	"unverdünnt"
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.93654
Viscosity [cp]  :	       1.00703
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      26.00000
Angle(2)[°]     :	      42.00000
Angle(3)[°]     :	      58.00000
Angle(4)[°]     :	      74.00000
Angle(5)[°]     :	      90.00000
Angle(6)[°]     :	     106.00000
Angle(7)[°]     :	     122.00000
Angle(8)[°]     :	     138.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	     115.46415
MeanCR2 [kHz]   :	      95.95625
MeanCR3 [kHz]   :	      94.64107
MeanCR4 [kHz]   :	      84.58911
MeanCR5 [kHz]   :	      92.88737
MeanCR6 [kHz]   :	     122.24850
MeanCR7 [kHz]   :	     159.21339
MeanCR8 [kHz]   :	     265.53076
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	  5.29058E-001	  6.60133E-001	  6.37353E-001	  6.51018E-001	  6.64043E-001	  6.95802E-001	  7.10503E-001	  6.40335E-001
  2.00000E-004	  9.15721E-001	  9.83037E-001	  9.82348E-001	  1.00261E+000	  1.01086E+000	  9.68332E-001	  1.00570E+000	  9.95961E-001
  3.00000E-004	  9.14066E-001	  9.63930E-001	  9.75063E-001	  1.00108E+000	  9.92366E-001	  9.55153E-001	  9.81337E-001	  9.81161E-001
  4.00000E-004	  9.09649E-001	  9.62733E-001	  9.83101E-001	  9.80420E-001	  9.55492E-001	  9.60635E-001	  9.66254E-001	  9.76440E-001
  5.00000E-004	  9.13679E-001	  9.66107E-001	  9.82448E-001	  9.75889E-001	  9.80378E-001	  9.48722E-001	  9.64715E-001	  9.79910E-001
  6.00000E-004	  9.10545E-001	  9.58576E-001	  9.71058E-001	  9.86787E-001	  9.73201E-001	  9.64656E-001	  9.62813E-001	  9.72582E-001
  7.00000E-004	  9.10108E-001	  9.61108E-001	  9.80027E-001	  9.80256E-001	  9.75228E-001	  9.56503E-001	  9.57961E-001	  9.74658E-001
  8.00000E-004	  9.08812E-001	  9.51301E-001	  9.64699E-001	  9.84816E-001	  9.80867E-001	  9.62943E-001	  9.47242E-001	  9.66779E-001
  9.00000E-004	  9.10373E-001	  9.57392E-001	  9.76614E-001	  9.79521E-001	  9.62552E-001	  9.48536E-001	  9.59808E-001	  9.62927E-001
  1.00000E-003	  9.05194E-001	  9.61075E-001	  9.75520E-001	  9.74768E-001	  9.77372E-001	  9.50621E-001	  9.59808E-001	  9.75658E-001
  1.10000E-003	  9.04475E-001	  9.55445E-001	  9.79737E-001	  9.80565E-001	  9.70708E-001	  9.47568E-001	  9.47966E-001	  9.75733E-001
  1.20000E-003	  9.06949E-001	  9.54222E-001	  9.60683E-001	  9.73222E-001	  9.71220E-001	  9.52073E-001	  9.56875E-001	  9.61502E-001
