ALV-7004 CGS-8F Data, Single Run Data
Date :	"05.01.2021"
Time :	"15:58:41"
Samplename : 	"7 2021 MW002-03"
SampMemo(0) : 	"nach ca 3 Monaten, kein Detektor abgeschwächt, "
SampMemo(1) : 	"unverdünnt"
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.93258
Viscosity [cp]  :	       1.00710
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      34.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      66.00000
Angle(4)[°]     :	      82.00000
Angle(5)[°]     :	      98.00000
Angle(6)[°]     :	     114.00000
Angle(7)[°]     :	     130.00000
Angle(8)[°]     :	     146.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	     134.23157
MeanCR2 [kHz]   :	     103.82098
MeanCR3 [kHz]   :	      95.48001
MeanCR4 [kHz]   :	      81.65427
MeanCR5 [kHz]   :	      88.70261
MeanCR6 [kHz]   :	     110.20760
MeanCR7 [kHz]   :	     131.66684
MeanCR8 [kHz]   :	     194.56932
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	  5.70585E-001	  6.82385E-001	  6.24027E-001	  6.63405E-001	  6.64558E-001	  6.99692E-001	  7.14679E-001	  6.26843E-001
  2.00000E-004	  9.80128E-001	  1.00137E+000	  9.60528E-001	  1.00361E+000	  1.00105E+000	  9.88852E-001	  1.01938E+000	  9.64162E-001
  3.00000E-004	  9.73345E-001	  9.94268E-001	  9.60624E-001	  9.85716E-001	  1.00498E+000	  9.62178E-001	  9.89058E-001	  9.58980E-001
  4.00000E-004	  9.71381E-001	  9.66075E-001	  9.69704E-001	  9.89774E-001	  9.95664E-001	  9.69045E-001	  9.88393E-001	  9.62246E-001
  5.00000E-004	  9.71240E-001	  9.77155E-001	  9.60981E-001	  9.71837E-001	  9.70482E-001	  9.72657E-001	  9.86738E-001	  9.53928E-001
  6.00000E-004	  9.69135E-001	  9.78703E-001	  9.62106E-001	  9.85059E-001	  9.86861E-001	  9.61977E-001	  9.86553E-001	  9.56778E-001
  7.00000E-004	  9.69910E-001	  9.81050E-001	  9.77440E-001	  9.78130E-001	  9.67232E-001	  9.75218E-001	  9.79731E-001	  9.44813E-001
  8.00000E-004	  9.68915E-001	  9.82482E-001	  9.69052E-001	  9.71603E-001	  9.73783E-001	  9.61885E-001	  9.96762E-001	  9.47478E-001
  9.00000E-004	  9.63683E-001	  9.76250E-001	  9.52470E-001	  9.80588E-001	  9.72383E-001	  9.59618E-001	  9.67992E-001	  9.52049E-001
  1.00000E-003	  9.65277E-001	  9.84541E-001	  9.66197E-001	  9.79105E-001	  9.83986E-001	  9.64117E-001	  9.79314E-001	  9.54418E-001
  1.10000E-003	  9.66404E-001	  9.70672E-001	  9.57329E-001	  9.77367E-001	  9.61880E-001	  9.62544E-001	  9.74488E-001	  9.46664E-001
  1.20000E-003	  9.67884E-001	  9.74635E-001	  9.49285E-001	  9.74782E-001	  9.90387E-001	  9.63897E-001	  9.80149E-001	  9.44332E-001
