ALV-7004 CGS-8F Data, Single Run Data
Date :	"11.05.2021"
Time :	"09:38:16"
Samplename : 	"093 2021 Wasser"
SampMemo(0) : 	"Wasser-Messung "
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.96626
Viscosity [cp]  :	       1.00682
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      34.00000
Angle(2)[°]     :	      50.00000
Angle(3)[°]     :	      66.00000
Angle(4)[°]     :	      82.00000
Angle(5)[°]     :	      98.00000
Angle(6)[°]     :	     114.00000
Angle(7)[°]     :	     130.00000
Angle(8)[°]     :	     146.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	       4.04578
MeanCR2 [kHz]   :	       2.72164
MeanCR3 [kHz]   :	       2.24754
MeanCR4 [kHz]   :	       1.81942
MeanCR5 [kHz]   :	       2.02082
MeanCR6 [kHz]   :	       2.04777
MeanCR7 [kHz]   :	       1.86457
MeanCR8 [kHz]   :	       1.47666
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	  2.36430E+000	  4.05942E+000	  1.14703E+000	  1.34755E+000	  1.69459E+000	  4.36344E+000	  3.33285E+000	  7.62161E-001
  2.00000E-004	  4.52767E-001	  1.61363E+000	  2.52432E-001	  8.16802E-001	  6.11719E-001	  8.64828E-001	  1.79103E+000	  2.12122E-001
  3.00000E-004	 -3.50078E-001	  1.11009E+000	  2.52432E-001	  4.49359E-001	  4.85804E-001	  1.88209E-001	  4.40531E-001	  1.66286E-001
  4.00000E-004	 -3.88309E-001	  1.98915E-001	  2.72312E-001	  5.92254E-001	  2.59156E-001	  8.91917E-002	  5.53073E-001	 -5.78040E-002
  5.00000E-004	  1.46921E-001	  3.90741E-001	  1.53033E-001	  4.28946E-001	  3.09522E-001	  3.20232E-001	  1.47923E-001	  1.20449E-001
  6.00000E-004	  2.23382E-001	  1.98915E-001	 -4.57661E-002	  1.83984E-001	  4.10254E-001	  2.31801E-002	  8.03986E-002	  4.91480E-002
  7.00000E-004	  7.04596E-002	 -1.84738E-001	 -3.24084E-001	  3.47292E-001	  2.08790E-001	 -1.74855E-001	  2.82973E-001	 -3.23392E-002
  8.00000E-004	  2.23382E-001	  2.46871E-001	 -1.25286E-001	  2.24811E-001	  3.09522E-001	  5.61858E-002	  2.60465E-001	 -1.44384E-001
  9.00000E-004	  9.87996E-001	  2.46871E-001	 -4.57661E-002	 -2.65114E-001	  7.32460E-003	 -5.37919E-001	 -1.44684E-001	  5.93339E-002
  1.00000E-003	 -8.24632E-002	  3.42784E-001	 -4.57661E-002	 -1.83460E-001	 -9.34079E-002	  7.82314E-001	 -9.63468E-003	  2.22308E-001
  1.10000E-003	  2.23382E-001	 -4.08684E-002	  1.92792E-001	 -1.83460E-001	  2.08790E-001	 -2.73872E-001	  2.15448E-001	  5.93339E-002
