ALV-7004 CGS-8F Data, Single Run Data
Date :	"11.05.2021"
Time :	"09:35:43"
Samplename : 	"093 2021 Wasser"
SampMemo(0) : 	"Wasser-Messung "
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.95295
Viscosity [cp]  :	       1.00660
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      26.00000
Angle(2)[°]     :	      42.00000
Angle(3)[°]     :	      58.00000
Angle(4)[°]     :	      74.00000
Angle(5)[°]     :	      90.00000
Angle(6)[°]     :	     106.00000
Angle(7)[°]     :	     122.00000
Angle(8)[°]     :	     138.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	       3.33436
MeanCR2 [kHz]   :	       2.38679
MeanCR3 [kHz]   :	       2.06514
MeanCR4 [kHz]   :	       1.71528
MeanCR5 [kHz]   :	       1.52074
MeanCR6 [kHz]   :	       2.09028
MeanCR7 [kHz]   :	       1.73645
MeanCR8 [kHz]   :	       1.11897
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	  3.32766E+000	  4.39116E+000	  8.31623E-001	  1.88371E+000	  2.54172E+000	  3.10483E+000	  4.03391E+000	  6.19583E-001
  2.00000E-004	  1.39686E+000	  1.29470E+000	  5.07273E-001	  1.59534E+000	  3.03352E-001	  8.17853E-001	  1.41452E+000	  3.27158E-001
  3.00000E-004	 -2.67627E-001	  6.03524E-001	  2.40161E-001	  6.22088E-001	  1.61684E-001	  1.14168E-001	  6.82847E-001	  2.82170E-001
  4.00000E-004	 -2.01048E-001	  2.99407E-001	  2.97400E-001	  4.41856E-001	 -6.49863E-002	 -1.98581E-001	  8.29182E-001	  1.54702E-001
  5.00000E-004	  6.52699E-002	  8.79993E-001	 -5.03935E-001	 -6.27934E-002	 -1.49988E-001	  2.50995E-001	  2.29210E-001	 -1.02550E-002
  6.00000E-004	 -3.34206E-001	  7.14112E-001	 -1.22347E-001	  2.97671E-001	 -3.66526E-002	  4.46463E-001	  3.17011E-001	  3.34656E-001
  7.00000E-004	  5.97905E-001	  5.05845E-002	 -4.65777E-001	  8.13922E-002	  2.46685E-001	 -1.00847E-001	  1.70676E-001	  2.29683E-001
  8.00000E-004	  6.52699E-002	 -2.25885E-001	 -8.41886E-002	 -2.79072E-001	  3.60020E-001	  2.50995E-001	  5.36086E-002	 -1.02551E-002
  9.00000E-004	 -7.33683E-001	  9.90581E-001	 -1.60506E-001	 -4.23257E-001	 -2.06655E-001	  3.29183E-001	 -4.92520E-003	 -1.30224E-001
  1.00000E-003	  6.52699E-002	 -1.15297E-001	 -7.87097E-003	  2.97671E-001	 -5.46660E-001	  6.41931E-001	  1.12142E-001	 -1.30224E-001
  1.10000E-003	  5.97905E-001	 -1.15297E-001	 -7.87097E-003	  8.74413E-001	 -3.19990E-001	  1.72808E-001	 -4.14662E-001	  7.97218E-002
