ALV-7004 CGS-8F Data, Single Run Data
Date :	"11.05.2021"
Time :	"09:22:27"
Samplename : 	"092 2021 Toluol"
SampMemo(0) : 	"Toluol-Messung "
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.94403
Viscosity [cp]  :	       1.00682
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      26.00000
Angle(2)[°]     :	      42.00000
Angle(3)[°]     :	      58.00000
Angle(4)[°]     :	      74.00000
Angle(5)[°]     :	      90.00000
Angle(6)[°]     :	     106.00000
Angle(7)[°]     :	     122.00000
Angle(8)[°]     :	     138.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	      32.19791
MeanCR2 [kHz]   :	      24.23757
MeanCR3 [kHz]   :	      22.33298
MeanCR4 [kHz]   :	      18.42479
MeanCR5 [kHz]   :	      18.56454
MeanCR6 [kHz]   :	      24.03723
MeanCR7 [kHz]   :	      29.37397
MeanCR8 [kHz]   :	      43.73744
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  1.00000E-004	 -1.28222E-001	  1.35720E-001	 -7.76197E-002	  4.68707E-002	  4.29208E-002	  3.02689E-001	  2.27332E-001	 -5.62896E-002
  2.00000E-004	  5.31933E-002	  1.03837E-001	  3.62170E-002	  5.02570E-002	  1.13398E-001	  1.18835E-001	  1.12957E-001	  7.07607E-002
  3.00000E-004	  1.53676E-002	  4.18097E-002	  2.36646E-002	 -5.13423E-003	 -1.15950E-002	  2.47356E-002	  7.59196E-002	  1.60808E-002
  4.00000E-004	  6.69555E-003	  2.40323E-002	  1.58983E-003	  1.90541E-002	 -1.20861E-002	 -1.97237E-002	  8.37308E-003	  4.04455E-002
  5.00000E-004	  1.14455E-002	  4.88626E-002	 -3.27488E-002	  2.31661E-002	 -5.84982E-002	  2.84023E-003	 -1.51831E-002	  3.57012E-002
  6.00000E-004	  1.13584E-002	  5.54664E-004	 -9.37544E-003	 -9.73002E-003	 -2.75568E-002	  2.55713E-002	  8.08927E-003	  1.27035E-002
  7.00000E-004	 -6.50859E-003	  2.81868E-002	  5.91821E-003	 -2.61781E-002	  1.41895E-002	  1.92200E-002	 -1.34802E-002	  1.23819E-002
  8.00000E-004	  1.64134E-002	  1.17621E-002	  1.46998E-004	 -7.31122E-003	  3.62905E-002	  2.84021E-003	  9.79210E-003	  5.91814E-002
  9.00000E-004	 -6.07284E-003	  1.94914E-002	 -1.19725E-002	  4.39680E-002	 -4.22908E-002	  4.56281E-002	 -5.53359E-003	  3.85821E-003
  1.00000E-003	  3.36703E-002	  2.87665E-002	  7.64954E-003	 -3.05320E-002	  3.72727E-002	  2.49027E-002	 -3.26311E-003	 -5.79118E-003
  1.10000E-003	  3.34001E-003	  3.26311E-002	 -1.71666E-002	  4.78382E-002	 -2.06809E-002	 -4.51395E-003	  3.93082E-002	  1.02911E-002
  1.20000E-003	  3.34001E-003	 -2.34061E-002	  1.63063E-002	  2.94550E-002	 -6.92923E-003	 -1.52109E-002	  1.49007E-002	 -2.63765E-002
  1.30000E-003	  5.95469E-003	 -6.78817E-003	  1.80377E-002	  1.39745E-002	 -1.28228E-002	 -1.85537E-002	  9.79210E-003	 -1.73705E-002
  1.40000E-003	 -1.70545E-002	  4.03281E-003	  7.64954E-003	 -1.40839E-002	  7.80476E-003	  1.01944E-002	 -4.12935E-002	 -1.99436E-002
  1.50000E-003	  2.21657E-002	  2.52883E-002	  5.34107E-003	  3.23576E-002	  1.17338E-002	  1.68800E-002	  1.42593E-004	  1.51158E-002
  1.60000E-003	 -5.82060E-004	 -2.15066E-003	  2.95800E-002	 -3.92491E-003	 -1.03569E-003	  1.42057E-002	 -6.66887E-003	  2.65342E-002
  1.80000E-003	 -4.76555E-003	  1.65928E-002	  1.46945E-004	  1.68771E-002	  4.36678E-003	 -1.25367E-002	  4.68348E-003	 -9.49017E-003
  2.00000E-003	 -7.20592E-003	  7.51093E-003	  8.22661E-003	  7.68549E-003	 -1.67519E-002	  2.50587E-003	  3.39158E-002	  1.09344E-002
  2.20000E-003	  5.78033E-003	 -3.69652E-003	 -1.88980E-002	  9.13679E-003	  5.34904E-003	  2.62398E-002	 -1.29127E-002	  1.97796E-002
  2.40000E-003	 -1.71509E-003	  3.83953E-003	  2.69830E-002	 -4.55288E-002	 -1.77342E-002	  5.84867E-003	  3.26444E-003	 -1.30283E-002
  2.60000E-003	  1.50189E-002	  1.15688E-002	 -1.68781E-002	 -4.11749E-002	  6.82244E-003	 -1.68824E-002	 -5.53364E-003	  5.62721E-003
  2.80000E-003	  1.10097E-002	 -1.57097E-003	 -2.16153E-003	  2.60686E-002	  1.56628E-002	 -3.51117E-003	  1.26301E-002	  2.74992E-002
  3.00000E-003	  2.11978E-003	  1.29214E-002	 -7.64416E-003	 -8.27702E-003	 -1.62608E-002	 -2.72451E-002	 -2.36974E-002	 -2.70199E-002
  3.20000E-003	  1.03123E-002	  1.29213E-002	 -1.44024E-003	 -1.02062E-003	 -2.99093E-004	 -3.17699E-003	 -1.71699E-002	 -1.25449E-002
  3.60000E-003	  2.51187E-003	  3.61246E-004	  7.07226E-003	  1.13154E-002	 -5.44659E-004	 -1.03640E-002	  1.54681E-002	 -1.27057E-002
  4.00000E-003	 -3.67620E-003	  1.06992E-002	 -1.64453E-002	 -1.26310E-002	 -1.79799E-002	 -2.40695E-002	 -1.19194E-002	 -4.02126E-003
  4.40000E-003	 -5.20143E-003	  1.14721E-002	 -1.52911E-002	  2.36515E-002	 -1.52786E-002	  2.10583E-002	  1.81643E-002	 -6.35319E-003
  4.80000E-003	  2.11967E-003	  1.13755E-002	 -8.36566E-003	  1.80882E-002	 -1.55242E-002	  4.31208E-002	  8.51955E-004	 -9.24801E-003
  5.20000E-003	  7.61050E-003	 -4.11681E-004	  7.93794E-003	 -1.98815E-003	  2.81866E-002	  2.22283E-002	 -8.65564E-003	  1.82528E-002
  5.60000E-003	 -1.32299E-003	  6.25482E-003	  6.06231E-003	 -6.58394E-003	 -5.21042E-003	  5.34715E-003	  2.84337E-004	 -8.85201E-004
  6.00000E-003	  1.49752E-002	  1.68015E-004	 -7.78854E-003	 -4.89076E-003	  1.86095E-002	  4.34431E-003	  1.84529E-003	 -4.42331E-003
  6.40000E-003	 -2.21655E-003	  1.09888E-002	 -3.09967E-003	 -5.25380E-003	 -2.50940E-003	 -5.18289E-003	 -2.12688E-003	 -4.82455E-003
