ALV-7004 CGS-8F Data, Single Run Data
Date :	"11.05.2021"
Time :	"09:21:57"
Samplename : 	"092 2021 Toluol"
SampMemo(0) : 	"Toluol-Messung "
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     292.95108
Viscosity [cp]  :	       1.00665
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle(1)[°]     :	      26.00000
Angle(2)[°]     :	      42.00000
Angle(3)[°]     :	      58.00000
Angle(4)[°]     :	      74.00000
Angle(5)[°]     :	      90.00000
Angle(6)[°]     :	     106.00000
Angle(7)[°]     :	     122.00000
Angle(8)[°]     :	     138.00000
Duration [s]    :	          30.0
Runs            :	         1
Mode            :	"8 x AUTO, 100 ns STC"
MeanCR1 [kHz]   :	      32.30945
MeanCR2 [kHz]   :	      24.36891
MeanCR3 [kHz]   :	      22.31208
MeanCR4 [kHz]   :	      18.51959
MeanCR5 [kHz]   :	      18.62893
MeanCR6 [kHz]   :	      24.07384
MeanCR7 [kHz]   :	      29.49318
MeanCR8 [kHz]   :	      43.91340
Atten[1]        :	       1.00000
Atten[2]        :	       1.00000
Atten[3]        :	       1.00000
RelSens[1]      :	       1.00000
RelSens[2]      :	       1.00000
RelSens[3]      :	       1.00000
RelSens[4]      :	       1.00000
RelSens[5]      :	       1.00000
RelSens[6]      :	       1.00000
RelSens[7]      :	       1.00000
RelSens[8]      :	       1.00000
DC[1][kHz]      :	       0.00000
DC[2][kHz]      :	       0.00000
DC[3][kHz]      :	       0.00000
DC[4][kHz]      :	       0.00000
DC[5][kHz]      :	       0.00000
DC[6][kHz]      :	       0.00000
DC[7][kHz]      :	       0.00000
DC[8][kHz]      :	       0.00000

"Correlation"
  3.00000E-003	 -1.25518E-002	  9.54263E-003	 -1.69894E-002	 -1.70443E-002	  1.55034E-002	  1.37645E-002	 -1.76288E-002	 -1.86130E-004
  3.20000E-003	 -7.49405E-003	 -1.35844E-004	  9.47731E-003	  1.29823E-002	  5.53961E-003	  2.54645E-003	  7.21819E-003	 -1.86237E-004
  3.60000E-003	 -7.07021E-004	  2.16424E-003	  1.27637E-004	  3.61399E-003	 -3.21056E-003	  5.05675E-003	 -1.66462E-002	 -1.22438E-003
  4.00000E-003	 -1.22577E-003	 -5.98188E-003	 -4.90680E-003	 -3.19377E-002	  2.13385E-002	  1.29271E-002	  4.41061E-003	 -4.01939E-003
  4.40000E-003	 -1.09609E-003	  8.39362E-003	 -3.18071E-003	  1.93249E-003	  3.90819E-002	 -1.57075E-002	 -1.76606E-003	 -2.02296E-003
  4.80000E-003	  4.13468E-003	  7.05077E-003	 -1.65579E-002	  1.69228E-003	 -1.07472E-002	  8.23837E-003	 -8.78500E-003	  5.72321E-003
  5.20000E-003	 -4.51122E-003	  4.07984E-003	  6.60049E-003	 -9.59778E-003	  2.01214E-002	 -1.26933E-002	  3.28758E-003	  1.49068E-002
  5.60000E-003	  2.75134E-003	 -6.46219E-003	 -2.31766E-003	  1.00998E-002	 -2.94628E-002	  1.03787E-003	  1.17103E-002	  7.32035E-003
  6.00000E-003	  1.74926E-002	  2.06727E-003	 -1.16673E-002	 -2.18487E-002	 -1.12333E-002	 -2.47866E-003	 -5.83705E-003	  1.31499E-002
  6.40000E-003	  5.19359E-003	  3.02655E-003	  7.24756E-003	 -1.32012E-002	 -1.14476E-003	  1.77845E-002	 -1.65762E-002	  9.15685E-003
  7.20000E-003	 -5.00857E-003	  2.73904E-003	 -3.54053E-003	  9.49902E-003	 -1.38782E-003	  5.05804E-003	  9.95536E-003	  1.19119E-002
  8.00000E-003	 -5.55931E-004	 -1.19026E-003	 -5.91782E-004	  4.09420E-003	  4.35131E-004	  1.03915E-003	  1.81675E-002	  5.92263E-003
  8.80000E-003	 -6.17576E-003	 -6.60503E-003	 -9.58185E-003	 -1.07991E-002	 -5.76290E-003	 -1.34456E-002	 -2.88930E-003	  4.68485E-003
  9.60000E-003	 -1.02021E-004	 -2.01180E-002	  1.42199E-003	  3.25345E-003	  8.94223E-003	  5.64413E-003	  7.35835E-003	  8.15864E-003
  1.04000E-002	 -1.16114E-003	 -1.14234E-003	  3.14809E-003	 -2.29649E-004	 -8.31503E-003	  7.31716E-003	  7.21797E-003	 -1.30445E-003
  1.12000E-002	 -5.87918E-005	 -3.29979E-003	  4.44266E-003	  1.98282E-002	  1.23433E-002	  1.54001E-003	  5.74399E-003	 -1.06488E-003
  1.20000E-002	 -3.21454E-003	  2.54624E-003	  6.81604E-003	  1.04599E-002	  2.01322E-003	 -4.06968E-003	 -1.15226E-002	 -2.78181E-003
  1.28000E-002	 -4.35979E-003	  8.27318E-003	  8.21806E-003	 -6.50449E-004	  1.02179E-002	  1.48118E-002	 -5.03289E-004	 -1.28491E-003
  1.44000E-002	  4.05915E-003	  1.87609E-003	 -6.16605E-003	 -1.26011E-002	  9.97481E-003	 -8.84105E-003	 -1.41575E-003	  5.46303E-003
  1.60000E-002	  2.66522E-004	 -1.47820E-003	  7.13925E-003	  8.05730E-003	  2.52409E-004	  4.76457E-003	 -2.57388E-003	 -3.62074E-003
  1.76000E-002	  8.60928E-004	  2.37923E-003	 -6.34585E-003	  3.01281E-003	 -3.39349E-003	  4.01103E-003	  7.91944E-003	 -4.71269E-005
  1.92000E-002	  5.78909E-003	 -1.84402E-004	  4.26243E-003	 -8.03702E-003	  1.46771E-003	  5.35066E-003	 -5.83768E-003	  8.11339E-004
  2.08000E-002	  4.58947E-003	 -4.64081E-003	 -5.41088E-003	 -3.71318E-003	 -1.13537E-002	  7.58615E-005	 -6.08334E-003	  5.44306E-003
  2.24000E-002	 -3.61333E-003	  4.51159E-003	 -4.90744E-003	  5.05463E-003	  1.50183E-002	 -2.72899E-003	 -1.59122E-003	  9.91018E-004
  2.40000E-002	  1.32565E-003	 -2.94083E-003	 -2.89367E-003	 -6.35553E-003	 -6.67659E-003	  1.45736E-003	 -1.69651E-003	 -3.10167E-003
  2.56000E-002	  6.95696E-003	 -3.97940E-003	  8.84650E-003	  7.60604E-003	  5.26466E-003	  5.24664E-003	 -8.13723E-003	 -2.08434E-003
  2.88000E-002	  2.31595E-003	  2.92085E-003	  4.35147E-003	  7.63607E-003	 -5.67303E-003	 -5.47041E-003	  5.77780E-003	 -1.50434E-003
  3.20000E-002	  8.46902E-004	 -8.60276E-005	 -4.09919E-003	  1.09025E-003	 -3.02975E-003	 -4.82152E-003	  4.58458E-003	 -2.19311E-003
  3.52000E-002	  3.68925E-003	 -2.58977E-003	  7.71375E-003	 -3.20357E-003	 -2.34564E-004	 -1.84922E-003	  1.91739E-003	  3.48674E-003
  3.84000E-002	  4.67883E-004	  2.08228E-003	  2.34024E-004	  4.60337E-003	  4.33850E-004	  1.83477E-003	 -1.03056E-003	 -1.00524E-003
  4.16000E-002	 -4.18323E-004	  3.81177E-004	  3.16478E-003	  5.80444E-003	 -7.81449E-004	  3.76049E-003	  9.04299E-003	  9.28017E-005
  4.48000E-002	  1.51620E-003	 -7.01024E-003	 -2.98442E-003	 -1.70875E-004	  3.47210E-003	 -1.07474E-003	  8.49902E-003	 -1.76717E-004
  4.80000E-002	  3.39128E-003	  1.32757E-003	 -5.05213E-003	 -3.14352E-003	 -2.33095E-003	 -7.18904E-004	  1.12913E-003	  1.90956E-003
  5.12000E-002	  1.06092E-003	  1.52918E-003	 -3.29040E-003	  2.15807E-003	  2.80558E-003	  2.13209E-003	 -1.53100E-003	 -3.12403E-003
  5.76000E-002	 -1.17005E-003	  2.58339E-003	  3.17345E-003	  2.48837E-003	 -4.31912E-003	  3.18915E-003	 -1.67138E-003	  5.39576E-003
  6.40000E-002	  1.77691E-003	 -3.78006E-003	  2.93971E-003	 -2.14043E-004	 -1.52393E-003	 -2.19033E-003	  7.25144E-003	 -8.53085E-004
  7.04000E-002	  6.18576E-004	  4.13848E-003	  6.92194E-004	  3.85458E-003	 -2.38803E-003	  5.79516E-003	  3.18046E-003	 -2.19216E-004
  7.68000E-002	 -2.89248E-004	 -9.77955E-004	  2.23987E-003	  2.30820E-003	  2.86815E-003	 -6.30343E-003	  1.14634E-003	 -5.84690E-005
  8.32000E-002	  1.29674E-003	 -1.63341E-004	 -2.10233E-003	 -1.23495E-003	  2.44460E-003	  8.55251E-004	 -4.41697E-004	  1.95294E-003
  8.96000E-002	  5.67240E-004	 -6.60495E-004	 -2.30910E-003	  4.62026E-003	  3.33008E-004	 -3.52997E-003	  1.18143E-003	 -4.37973E-003
  9.60000E-002	  9.91432E-004	  1.29331E-003	 -1.82364E-003	  5.22080E-003	  2.08001E-003	  5.56491E-003	 -2.36313E-003	 -2.10379E-003
  1.02400E-001	 -1.11727E-004	 -1.87905E-003	  5.50091E-003	 -2.63854E-003	 -3.14632E-004	 -1.53067E-003	  1.05979E-004	  9.41069E-004
